,host,detection_timestamp,source,SYSCALL,detection_details,threat_Score,certainity_Score
0,Victim3,2021-04-10T12:20:28.000000000-04:00,/bin/bash:e9655bec-9da8-11eb-8492-000c2969045d,CLONE,/bin/bash,5.0,0.0
1,Victim3,2021-04-10T12:20:36.000000000-04:00,/bin/bash:e9655bec-9da8-11eb-8492-000c2969045d,CLONE,/bin/bash,5.0,0.0
2,Victim3,2021-04-10T12:20:38.000000000-04:00,/bin/bash:e9655bec-9da8-11eb-8492-000c2969045d,CLONE,/bin/bash,5.0,0.0
3,Victim3,2021-04-10T12:20:46.000000000-04:00,/bin/bash:e9655bec-9da8-11eb-8492-000c2969045d,CLONE,/bin/bash,5.0,0.0
4,Victim3,2021-04-10T12:20:50.000000000-04:00,/bin/bash:e9655bec-9da8-11eb-8492-000c2969045d,CLONE,/bin/bash,5.0,0.0
5,Victim3,2021-04-10T12:20:52.000000000-04:00,/bin/bash:e9655bec-9da8-11eb-8492-000c2969045d,CLONE,/bin/bash,5.0,0.0
6,Victim3,2021-04-10T12:20:59.000000000-04:00,/bin/bash:e9655bec-9da8-11eb-8492-000c2969045d,CLONE,/bin/bash,5.0,0.0
7,Victim3,2021-04-10T12:23:13.000000000-04:00,/bin/bash:f12b8030-9da8-11eb-8492-000c2969045d,CLONE,/bin/bash,5.0,0.0
8,Victim3,2021-04-10T12:23:14.000000000-04:00,/bin/bash:f12b8030-9da8-11eb-8492-000c2969045d,CLONE,/bin/bash,5.0,0.0
9,Victim3,2021-04-10T12:23:19.000000000-04:00,/bin/bash:f12b8030-9da8-11eb-8492-000c2969045d,CLONE,/bin/bash,5.0,0.0
10,Victim3,2021-04-10T12:23:21.000000000-04:00,/bin/bash:f12b8030-9da8-11eb-8492-000c2969045d,CLONE,/bin/bash,5.0,0.0
11,Victim3,2021-04-10T12:18:13.000000000-04:00,/bin/bash:e836cb0b-9da8-11eb-8492-000c2969045d,CLONE,/bin/bash,5.0,0.0
12,Victim3,2021-04-10T12:18:21.000000000-04:00,/bin/bash:e836cb0b-9da8-11eb-8492-000c2969045d,CLONE,/bin/bash,5.0,0.0
13,Victim3,2021-04-10T12:18:33.000000000-04:00,/bin/bash:e836cb0b-9da8-11eb-8492-000c2969045d,CLONE,/bin/bash,5.0,0.0
14,Victim3,2021-04-10T12:18:36.000000000-04:00,/bin/bash:e836cb0b-9da8-11eb-8492-000c2969045d,CLONE,/bin/bash,5.0,0.0
15,Victim3,2021-04-10T12:18:40.000000000-04:00,/bin/bash:e836cb0b-9da8-11eb-8492-000c2969045d,CLONE,/bin/bash,5.0,0.0
16,Victim3,2021-04-10T12:19:38.000000000-04:00,/bin/bash:e836cb0b-9da8-11eb-8492-000c2969045d,CLONE,/bin/bash,5.0,0.0
17,Victim3,2021-04-10T12:15:27.000000000-04:00,/bin/bash:e55b5e6c-9da8-11eb-8492-000c2969045d,CLONE,/bin/bash,5.0,0.0
18,Victim3,2021-04-10T12:15:37.000000000-04:00,/bin/bash:e55b5e6c-9da8-11eb-8492-000c2969045d,CLONE,/bin/bash,5.0,0.0
19,Victim3,2021-04-10T12:15:48.000000000-04:00,/bin/bash:e55b5e6c-9da8-11eb-8492-000c2969045d,CLONE,/bin/bash,5.0,0.0
20,Victim3,2021-04-10T12:16:22.000000000-04:00,/bin/bash:e55b5e6c-9da8-11eb-8492-000c2969045d,CLONE,/bin/bash,5.0,0.0
21,Victim3,2021-04-10T12:16:38.000000000-04:00,/bin/bash:e55b5e6c-9da8-11eb-8492-000c2969045d,CLONE,/bin/bash,5.0,0.0
22,Victim3,2021-04-10T12:16:42.000000000-04:00,/bin/bash:e55b5e6c-9da8-11eb-8492-000c2969045d,CLONE,/bin/bash,5.0,0.0
23,Victim3,2021-04-10T12:16:52.000000000-04:00,/bin/bash:e55b5e6c-9da8-11eb-8492-000c2969045d,CLONE,/bin/bash,5.0,0.0
24,Victim3,2021-04-10T12:16:58.000000000-04:00,/bin/bash:e55b5e6c-9da8-11eb-8492-000c2969045d,CLONE,/bin/bash,5.0,0.0
25,Victim3,2021-04-10T12:17:48.000000000-04:00,/bin/bash:e55b5e6c-9da8-11eb-8492-000c2969045d,CLONE,/bin/bash,5.0,0.0
26,Victim3,2021-04-10T12:17:59.000000000-04:00,/bin/bash:e55b5e6c-9da8-11eb-8492-000c2969045d,CLONE,/bin/bash,5.0,0.0
27,Victim3,2021-04-10T12:21:18.000000000-04:00,/bin/bash:ea92ba76-9da8-11eb-8492-000c2969045d,CLONE,/bin/bash,5.0,0.0
